Location,Area_SqFt,BHK,Bathrooms,Parking,Property_Age,Floor_Number,Total_Floors,Price,Price_Per_SqFt,Floor_Ratio,Location_Encoded
Kondapur,2450.1,4,4,1.0,0,7,12,17733462.0,7237.9,0.583,9
Hitech City,1083.4,2,3,3.0,0,0,22,10409520.0,9608.2,0.0,6
Miyapur,1167.1,3,3,3.0,2,11,16,7162907.0,6137.4,0.688,14
LB Nagar,1674.2,3,3,0.0,20,1,15,5852338.0,3495.6,0.067,11
Nallagandla,591.6,1,2,1.0,15,0,4,3279886.0,5544.1,0.0,15
Hitech City,1088.3,2,2,1.0,0,11,19,11385068.0,10461.3,0.579,6
Banjara Hills,1173.8,2,2,1.0,5,4,9,16376339.0,13951.6,0.444,1
Ameerpet,2113.5,3,4,1.0,2,12,16,15087973.0,7138.9,0.75,0
Jubilee Hills,503.7,1,1,0.0,1,2,9,6552000.0,13007.7,0.222,7
Financial District,1609.0,3,3,2.0,7,0,3,14213585.0,8833.8,0.0,4
Ameerpet,1317.3,2,2,1.0,5,4,4,8784631.0,6668.7,1.0,0
Begumpet,1721.6,3,4,1.0,5,9,16,14550039.0,8451.5,0.562,2
Nizampet,1141.7,2,2,1.0,1,3,8,6598925.0,5779.9,0.375,16
Nizampet,586.9,1,2,2.0,7,3,7,2947612.0,5022.3,0.429,16
Miyapur,1163.4,2,3,1.0,2,0,2,6994171.0,6011.8,0.0,14
LB Nagar,1029.9,2,2,1.0,7,11,11,4338349.0,4212.4,1.0,11
Begumpet,1191.6,2,2,0.0,2,13,13,8369821.0,7024.0,1.0,2
Kondapur,1437.6,3,3,1.0,5,22,23,9923857.0,6903.1,0.957,9
Gachibowli,1347.8,2,2,1.0,5,3,24,12086036.0,8967.2,0.125,5
Kukatpally,1250.4,2,2,3.0,3,15,17,7708052.0,6164.5,0.882,10
Jubilee Hills,1416.9,2,3,1.0,2,2,4,20841794.0,14709.4,0.5,7
LB Nagar,1756.2,3,3,3.0,1,9,19,7535337.0,4290.7,0.474,11
Financial District,913.9,2,3,3.0,5,8,24,9048064.0,9900.5,0.333,4
Nallagandla,1222.0,2,3,2.0,7,0,12,7962712.0,6516.1,0.0,15
Tellapur,2535.7,4,4,3.0,25,13,19,16885606.0,6659.1,0.684,18
Shaikpet,1679.8,3,3,0.0,5,7,17,11389562.0,6780.3,0.412,17
Kondapur,1732.8,3,3,1.0,2,5,7,10815091.0,6241.4,0.714,9
Nizampet,1622.1,3,3,1.0,7,0,2,8740343.0,5388.3,0.0,16
Ameerpet,1155.8,2,2,3.0,20,5,22,6416602.0,5551.7,0.227,0
Financial District,1624.7,3,3,1.0,25,20,21,13566194.0,8350.0,0.952,4
Jubilee Hills,1179.5,2,3,2.0,5,17,25,16227605.0,13758.0,0.68,7
Begumpet,3222.4,5,6,2.0,7,5,12,22380656.0,6945.3,0.417,2
Ameerpet,1517.9,3,3,1.0,0,8,8,8556986.0,5637.4,1.0,0
Uppal,1295.9,3,3,0.0,0,6,7,5977302.0,4612.5,0.857,19
Kukatpally,1365.3,2,2,1.0,0,3,14,8497564.0,6224.0,0.214,10
Begumpet,1628.8,3,3,2.0,2,22,22,12677160.0,7783.1,1.0,2
Nallagandla,1343.3,3,3,1.0,20,0,2,7265799.0,5408.9,0.0,15
Kondapur,1977.8,3,3,1.0,1,13,23,14343866.0,7252.4,0.565,9
Gachibowli,1246.5,2,2,1.0,7,5,11,10866531.0,8717.6,0.455,5
Gachibowli,2300.5,4,4,2.0,7,1,17,20089730.0,8732.8,0.059,5
Bowenpally,2623.6,4,5,1.0,1,10,20,14821688.0,5649.4,0.5,3
Gachibowli,1749.3,3,3,1.0,1,1,15,16147062.0,9230.6,0.067,5
Uppal,1893.6,3,3,2.0,3,8,20,7978860.0,4213.6,0.4,19
Kondapur,1281.4,2,3,2.0,10,1,5,9727717.0,7591.5,0.2,9
Gachibowli,1296.0,3,4,1.0,20,3,6,8675942.0,6694.4,0.5,5
Bowenpally,1479.2,3,3,1.0,5,12,23,8157331.0,5514.7,0.522,3
Uppal,1112.6,2,3,3.0,5,15,16,5128325.0,4609.3,0.938,19
Gachibowli,1316.3,2,3,2.0,10,4,14,9979337.0,7581.4,0.286,5
Manikonda,3324.6,5,6,3.0,7,0,13,22945686.0,6901.8,0.0,13
Madhapur,1090.2,2,3,2.0,0,5,6,9432630.0,8652.2,0.833,12
Uppal,1707.4,3,3,1.0,7,11,20,7505091.0,4395.6,0.55,19
Kondapur,1108.3,2,2,0.0,1,6,10,7913245.0,7140.0,0.6,9
Jubilee Hills,1543.1,3,3,0.0,5,5,22,19609083.0,12707.6,0.227,7
Miyapur,2471.6,5,5,2.0,20,2,5,12254830.0,4958.3,0.4,14
Uppal,4073.9,5,6,1.0,7,2,23,18340817.0,4502.0,0.087,19
Ameerpet,1621.6,3,3,1.0,1,1,5,9854086.0,6076.8,0.2,0
Tellapur,1045.2,2,3,3.0,7,8,18,7347035.0,7029.3,0.444,18
Jubilee Hills,941.0,2,2,0.0,20,4,20,12150602.0,12912.4,0.2,7
Begumpet,1960.0,4,4,2.0,5,16,16,15612290.0,7965.5,1.0,2
Kukatpally,1717.5,3,4,2.0,5,0,4,10229243.0,5955.9,0.0,10
Ameerpet,676.7,1,2,2.0,5,4,22,4880061.0,7211.6,0.182,0
Manikonda,2213.6,4,4,1.0,7,0,2,12023286.0,5431.6,0.0,13
Tellapur,1486.1,3,4,1.0,10,11,19,9652018.0,6494.9,0.579,18
Kompally,1564.1,3,3,1.0,5,1,16,7465770.0,4773.2,0.062,8
LB Nagar,1821.5,3,3,1.0,7,1,5,7450255.0,4090.2,0.2,11
Bowenpally,1594.3,3,4,1.0,2,10,12,7757716.0,4865.9,0.833,3
Ameerpet,849.9,2,2,1.0,7,3,5,5859901.0,6894.8,0.6,0
Financial District,2429.1,4,5,1.0,15,9,19,21432313.0,8823.1,0.474,4
Madhapur,952.1,2,2,1.0,7,9,10,7380239.0,7751.5,0.9,12
Begumpet,1818.6,3,4,1.0,1,21,25,13936813.0,7663.5,0.84,2
Kompally,1525.9,3,4,0.0,2,2,8,6419177.0,4206.8,0.25,8
Begumpet,2201.1,4,4,1.0,10,6,11,16925202.0,7689.4,0.545,2
Bowenpally,1043.3,2,3,1.0,7,0,4,5121209.0,4908.7,0.0,3
Nizampet,1959.4,3,3,1.0,5,8,11,10971481.0,5599.4,0.727,16
