Location,Area_SqFt,BHK,Bathrooms,Parking,Property_Age,Floor_Number,Total_Floors,Price,Price_Per_SqFt
Kondapur,2450.1,4,4,1.0,0,7,12,17733462.0,7237.9
Hitech City,1083.4,2,3,3.0,0,0,22,10409520.0,9608.2
Miyapur,1167.1,3,3,3.0,2,11,16,7162907.0,6137.6
LB Nagar,1674.2,3,3,0.0,20,1,15,5852338.0,3495.6
Nallagandla,591.6,1,2,1.0,15,0,4,3279886.0,5544.4
Hitech City,1088.3,2,2,1.0,0,11,19,11385068.0,10460.9
Banjara Hills,1173.8,2,2,1.0,5,4,9,16376339.0,13951.2
Ameerpet,2113.5,3,4,1.0,2,12,16,15087973.0,7139.0
Jubilee Hills,503.7,1,1,0.0,1,2,9,6552000.0,13007.8
Financial District,1609.0,3,3,2.0,7,0,3,14213585.0,8833.9
Ameerpet,1317.3,2,2,1.0,5,4,4,8784631.0,6668.8
Begumpet,1721.6,3,4,1.0,5,9,16,14550039.0,8451.7
Nizampet,1141.7,2,2,,1,3,8,6598925.0,5779.7
Nizampet,586.9,1,2,2.0,7,3,7,2947612.0,5022.0
Miyapur,1163.4,2,3,,2,0,2,6994171.0,6011.9
LB Nagar,1029.9,2,2,1.0,7,11,11,4338349.0,4212.4
Begumpet,1191.6,2,2,0.0,2,13,13,8369821.0,7024.1
Kondapur,1437.6,3,3,1.0,5,22,23,9923857.0,6902.9
Gachibowli,1347.8,2,2,1.0,5,3,24,12086036.0,8967.1
Kukatpally,1250.4,2,2,3.0,3,15,17,7708052.0,6164.3
Jubilee Hills,1416.9,2,3,1.0,2,2,4,20841794.0,14709.7
LB Nagar,1756.2,3,3,3.0,1,9,19,7535337.0,4290.7
Financial District,913.9,2,3,3.0,5,8,24,9048064.0,9900.0
Nallagandla,1222.0,2,3,2.0,7,0,12,7962712.0,6516.0
Tellapur,2535.7,4,4,3.0,25,13,19,16885606.0,6659.1
Shaikpet,1679.8,3,3,0.0,5,7,17,11389562.0,6780.2
Kondapur,1732.8,3,3,1.0,2,5,7,10815091.0,6241.4
Nizampet,1622.1,3,3,1.0,7,0,2,8740343.0,5388.3
Ameerpet,1155.8,2,2,3.0,20,5,22,6416602.0,5551.7
Financial District,1624.7,3,3,1.0,25,20,21,13566194.0,8349.8
Jubilee Hills,1179.5,2,3,2.0,5,17,25,16227605.0,13757.5
Begumpet,3222.4,5,6,2.0,7,5,12,22380656.0,6945.4
Ameerpet,1517.9,3,3,1.0,0,8,8,8556986.0,5637.2
Hitech City,2667.3,4,5,2.0,2,1,3,26273645.0,9850.2
Uppal,1295.9,3,3,0.0,0,6,7,5977302.0,4612.6
Kukatpally,1365.3,2,2,1.0,0,3,14,8497564.0,6223.8
Begumpet,1628.8,3,3,2.0,2,22,22,12677160.0,7783.2
Nallagandla,1343.3,3,3,1.0,20,0,2,7265799.0,5408.8
Kondapur,1977.8,3,3,1.0,1,13,23,14343866.0,7252.5
Gachibowli,1246.5,2,2,1.0,7,5,11,10866531.0,8717.8
Gachibowli,2300.5,4,4,2.0,7,1,17,20089730.0,8732.8
Bowenpally,2623.6,4,5,1.0,1,10,20,14821688.0,5649.4
Gachibowli,1749.3,3,3,1.0,1,1,15,16147062.0,9230.7
Uppal,1893.6,3,3,2.0,3,8,20,7978860.0,4213.6
Kondapur,1281.4,2,3,2.0,10,1,5,9727717.0,7591.6
Gachibowli,1296.0,3,4,1.0,20,3,6,8675942.0,6694.2
Bowenpally,1479.2,3,3,1.0,5,12,23,8157331.0,5514.7
Uppal,1112.6,2,3,3.0,5,15,16,5128325.0,4609.3
Gachibowli,1316.3,2,3,2.0,10,4,14,9979337.0,7581.5
Manikonda,3324.6,5,6,3.0,7,0,13,22945686.0,6901.8
Madhapur,1090.2,2,3,2.0,0,5,6,9432630.0,8652.2
Uppal,1707.4,3,3,1.0,7,11,20,7505091.0,4395.6
Kondapur,1108.3,2,2,0.0,1,6,10,7913245.0,7140.1
Jubilee Hills,1543.1,3,3,0.0,5,5,22,19609083.0,12707.3
Miyapur,2471.6,5,5,2.0,20,2,5,12254830.0,4958.2
Uppal,4073.9,5,6,1.0,7,2,23,18340817.0,4502.0
Ameerpet,1621.6,3,3,1.0,1,1,5,9854086.0,6076.7
Tellapur,1045.2,2,3,3.0,7,8,18,7347035.0,7029.0
Jubilee Hills,941.0,2,2,0.0,20,4,20,12150602.0,12912.6
Begumpet,1960.0,4,4,2.0,5,16,16,15612290.0,7965.3
Kukatpally,1717.5,3,4,2.0,5,0,4,10229243.0,5955.9
Ameerpet,676.7,1,2,2.0,5,4,22,4880061.0,7211.4
Manikonda,2213.6,4,4,,7,0,2,12023286.0,5431.5
Tellapur,1486.1,3,4,1.0,10,11,19,9652018.0,6495.0
Jubilee Hills,1853.3,3,3,1.0,0,4,16,28006391.0,15111.9
Kompally,1564.1,3,3,1.0,5,1,16,7465770.0,4773.1
LB Nagar,1821.5,3,3,1.0,7,1,5,7450255.0,4090.2
Bowenpally,1594.3,3,4,1.0,2,10,12,7757716.0,4866.0
Ameerpet,849.9,2,2,1.0,7,3,5,5859901.0,6895.1
Financial District,2429.1,4,5,1.0,15,9,19,21432313.0,8823.1
Madhapur,952.1,2,2,1.0,7,9,10,7380239.0,7751.6
Begumpet,1818.6,3,4,1.0,1,21,25,13936813.0,7663.6
Kompally,1525.9,3,4,0.0,2,2,8,6419177.0,4206.7
Begumpet,2201.1,4,4,1.0,10,6,11,16925202.0,7689.3
Bowenpally,1043.3,2,3,1.0,7,0,4,5121209.0,4908.7
Nizampet,1959.4,3,3,1.0,5,8,11,10971481.0,5599.3
Gachibowli,1277.8,2,2,3.0,7,0,2,12146659.0,9505.8
Madhapur,1314.1,2,2,2.0,0,6,10,11066412.0,8421.6
Financial District,1703.6,3,3,1.0,25,5,5,13094975.0,7686.9
Bowenpally,1811.5,3,4,1.0,5,11,14,10092814.0,5571.4
Gachibowli,1044.7,2,2,1.0,1,15,15,8279866.0,7925.8
Madhapur,1636.9,3,3,0.0,2,4,11,12352041.0,7545.9
Manikonda,3586.4,5,5,2.0,10,7,12,20927435.0,5835.2
Madhapur,1229.6,2,3,3.0,1,10,25,10656699.0,8666.5
Nallagandla,1242.2,2,3,0.0,10,8,12,7699389.0,6198.2
Gachibowli,1106.0,2,3,2.0,5,0,5,9179394.0,8299.3
Nizampet,1550.8,3,4,2.0,7,2,2,9149405.0,5899.6
Begumpet,1410.3,3,3,0.0,2,2,8,9232682.0,6546.5
Madhapur,1891.9,4,4,2.0,7,6,21,16571222.0,8759.0
Hitech City,3518.0,5,6,1.0,1,1,3,34474947.0,9799.6
Gachibowli,2586.4,4,4,2.0,1,14,25,22388300.0,8656.3
Tellapur,1254.5,2,3,1.0,7,1,5,7722297.0,6155.9
Kukatpally,1416.8,3,3,1.0,7,7,14,7989979.0,5639.5
Shaikpet,1671.7,3,4,2.0,7,0,11,11902803.0,7120.3
Nallagandla,1175.4,2,3,1.0,1,13,22,8101261.0,6892.5
Hitech City,1500.3,2,2,0.0,2,20,21,14561433.0,9705.4
Nallagandla,1295.1,2,3,1.0,5,10,18,8412890.0,6495.7
Miyapur,2430.2,4,4,0.0,2,5,12,12037381.0,4953.3
Shaikpet,1596.8,3,3,3.0,5,0,2,10196778.0,6385.9
Uppal,1134.2,2,2,0.0,5,2,9,4952707.0,4366.9
Shaikpet,1182.4,2,2,1.0,5,3,20,9042076.0,7647.2
Jubilee Hills,1165.1,2,2,2.0,5,2,2,16490265.0,14153.0
Shaikpet,2637.3,4,4,1.0,5,5,9,15032894.0,5700.0
Begumpet,1678.4,3,4,2.0,25,13,25,11542599.0,6877.3
Kukatpally,2549.8,5,5,1.0,10,18,22,14042494.0,5507.3
Ameerpet,919.6,2,3,2.0,3,1,11,6644776.0,7226.0
Financial District,1799.8,3,3,1.0,3,2,13,15403213.0,8558.5
LB Nagar,3063.7,5,5,3.0,5,17,18,14216519.0,4640.4
Uppal,1822.2,3,3,1.0,7,3,15,8539510.0,4686.4
Nizampet,1838.1,3,3,2.0,5,0,3,9996845.0,5438.6
Gachibowli,1557.1,3,3,1.0,20,2,7,11700759.0,7514.4
Tellapur,1136.4,2,2,2.0,3,15,15,9558623.0,8411.6
Banjara Hills,1102.0,2,3,1.0,3,3,9,15650616.0,14202.3
Bowenpally,1757.1,3,3,3.0,1,0,25,9559936.0,5440.7
Hitech City,1706.1,3,4,3.0,1,9,10,15761293.0,9238.0
Banjara Hills,1174.8,2,2,2.0,3,2,8,16146745.0,13744.0
Financial District,726.9,1,2,2.0,7,14,18,6802527.0,9358.4
Miyapur,1725.3,3,4,2.0,7,7,7,9716931.0,5632.1
Shaikpet,1735.1,3,3,1.0,20,14,15,10935592.0,6302.7
Kondapur,1144.5,2,3,2.0,2,6,11,9127301.0,7974.6
Bowenpally,1828.6,3,3,2.0,5,22,24,8522577.0,4660.6
Miyapur,1684.7,3,4,2.0,5,9,14,10544996.0,6259.1
Miyapur,1248.4,2,3,3.0,3,11,18,7356770.0,5892.7
Ameerpet,1835.8,4,5,1.0,1,7,15,10602576.0,5775.4
Shaikpet,883.2,2,3,1.0,20,2,6,4803982.0,5439.6
Madhapur,3293.5,5,6,3.0,10,2,5,27927587.0,8479.6
Tellapur,2622.1,4,4,,1,0,10,19990366.0,7623.7
Financial District,2442.2,4,4,1.0,5,9,18,25231795.0,10331.5
Financial District,1485.2,3,4,1.0,2,8,16,15143503.0,10196.3
Hitech City,1528.7,3,4,3.0,15,7,10,12431591.0,8132.3
Gachibowli,1458.8,3,3,2.0,0,5,19,12198497.0,8362.0
Gachibowli,1078.6,2,3,1.0,5,2,20,9218798.0,8547.2
Tellapur,1325.4,3,4,2.0,7,2,2,9137455.0,6894.1
Ameerpet,1749.5,3,4,1.0,10,4,8,11018918.0,6298.4
Kukatpally,3599.4,5,5,2.0,2,1,8,21743440.0,6040.8
Hitech City,1489.5,3,3,0.0,2,0,10,13986885.0,9390.5
Tellapur,1239.1,2,3,1.0,10,8,11,9549229.0,7706.7
Banjara Hills,1233.9,2,2,3.0,7,3,19,17427054.0,14123.7
Bowenpally,1603.7,3,3,0.0,15,15,15,8784299.0,5477.6
Begumpet,2985.4,5,6,0.0,0,6,7,23211332.0,7775.0
Begumpet,2268.8,4,5,1.0,15,10,16,14560810.0,6417.8
LB Nagar,2100.3,4,4,2.0,25,20,25,8198265.0,3903.3
Begumpet,980.6,2,2,3.0,3,6,7,8373016.0,8538.3
Banjara Hills,1160.2,2,2,2.0,5,8,9,15803523.0,13620.9
Bowenpally,1128.1,2,2,0.0,10,4,13,5039926.0,4467.6
Financial District,1376.1,2,2,1.0,2,21,23,15218638.0,11059.6
Banjara Hills,2176.9,4,4,0.0,3,14,15,27255656.0,12520.7
Madhapur,1258.4,2,3,0.0,5,8,25,10501319.0,8344.7
Bowenpally,1105.4,2,2,1.0,3,1,9,5713133.0,5168.5
Jubilee Hills,1601.1,3,3,0.0,3,1,3,21576508.0,13476.4
Kondapur,1276.9,2,2,2.0,20,2,4,8261786.0,6470.4
Madhapur,1942.2,3,3,3.0,20,14,21,16089937.0,8284.3
Kondapur,2076.9,3,4,1.0,0,10,11,17492165.0,8422.4
Shaikpet,599.2,1,2,1.0,25,4,5,3275860.0,5467.2
Tellapur,2144.6,4,4,0.0,7,0,6,13687828.0,6382.4
Financial District,961.0,2,2,1.0,15,4,18,7988769.0,8313.1
Hitech City,1655.7,3,3,1.0,5,1,22,16169566.0,9766.2
Hitech City,2252.4,4,4,1.0,20,2,13,18521700.0,8223.3
Nizampet,1553.1,3,4,1.0,7,11,11,8811662.0,5673.7
Kompally,3324.3,5,5,1.0,15,13,16,15252566.0,4588.1
Kondapur,990.5,2,2,3.0,2,4,6,7497388.0,7569.1
Jubilee Hills,1341.9,3,3,1.0,5,11,11,19714270.0,14691.0
Nallagandla,1778.5,3,4,1.0,1,4,12,10822797.0,6085.4
Begumpet,1890.5,3,4,,15,10,13,13297416.0,7033.9
LB Nagar,1156.7,2,3,0.0,1,4,7,4743427.0,4100.9
Gachibowli,1386.8,2,2,1.0,7,0,3,11904645.0,8584.4
Shaikpet,2606.9,5,5,1.0,5,12,24,18689311.0,7169.1
LB Nagar,1771.3,3,4,0.0,7,4,7,6726582.0,3797.5
Begumpet,1270.1,2,3,2.0,5,7,18,10072775.0,7930.9
Begumpet,1868.9,3,3,2.0,3,0,6,15261542.0,8166.1
Banjara Hills,3586.0,5,6,1.0,10,1,5,46512471.0,12970.7
Madhapur,1294.5,2,3,2.0,3,0,12,50669423.478641756,8657.9
Kondapur,564.5,1,1,2.0,3,0,2,3673929.0,6508.4
Bowenpally,1658.3,3,3,1.0,10,2,10,7921095.0,4776.8
Tellapur,1560.1,3,3,1.0,3,6,6,10494446.0,6727.0
Miyapur,1852.4,3,4,2.0,5,22,22,9135385.0,4931.5
Kukatpally,709.2,1,1,2.0,0,12,22,4615365.0,6507.9
Uppal,916.4,2,2,1.0,10,1,4,3824179.0,4173.2
Hitech City,1712.6,3,4,1.0,1,9,13,16249940.0,9488.4
Kondapur,1530.9,3,3,1.0,25,5,5,9150777.0,5977.3
Kondapur,2431.7,4,4,0.0,7,21,22,14688953.0,6040.7
Nallagandla,2007.6,4,4,2.0,10,4,18,12949415.0,6450.2
Hitech City,1109.3,2,3,0.0,7,2,2,10350226.0,9330.4
Shaikpet,1219.4,2,2,,1,6,6,8257862.0,6772.1
Financial District,1345.7,3,3,1.0,5,3,3,12690202.0,9430.3
Financial District,1527.7,3,3,2.0,0,13,25,17461036.0,11429.8
Uppal,1784.9,3,4,1.0,7,2,5,7624141.0,4271.5
Nallagandla,1060.4,2,2,1.0,0,3,6,6396600.0,6032.3
Tellapur,2427.7,4,4,1.0,7,11,24,18661971.0,7687.1
Banjara Hills,1148.3,2,2,1.0,0,4,6,16446950.0,14322.8
Begumpet,1023.7,2,2,2.0,3,7,13,8013259.0,7827.5
LB Nagar,1469.2,3,4,0.0,10,11,25,5906184.0,4020.0
Jubilee Hills,2940.1,4,4,2.0,1,11,17,46496622.0,15814.5
Madhapur,1055.9,2,2,1.0,2,2,2,7936528.0,7516.5
Financial District,1447.5,2,2,2.0,5,4,23,12650893.0,8739.9
LB Nagar,1089.5,2,3,2.0,10,6,17,4952405.0,4545.7
LB Nagar,2180.2,4,5,1.0,20,0,3,7765592.0,3561.9
Jubilee Hills,2980.3,4,5,1.0,5,5,10,41635701.0,13970.3
Nizampet,1220.1,2,2,1.0,5,5,19,6424510.0,5265.7
Kukatpally,1458.6,3,3,2.0,3,1,3,9054918.0,6207.8
Kukatpally,1353.8,3,3,1.0,0,2,15,8823862.0,6517.8
Kondapur,1653.1,3,4,2.0,7,19,21,11694541.0,7074.3
Hitech City,1443.3,3,4,1.0,1,5,8,13016576.0,9018.7
Kompally,1207.7,2,2,1.0,3,6,7,5939407.0,4917.9
Manikonda,1740.6,3,3,2.0,7,17,22,10062098.0,5780.8
Gachibowli,2818.3,5,5,1.0,15,20,24,22418002.0,7954.5
Hitech City,2502.1,4,5,1.0,15,4,11,18959123.0,7577.2
Manikonda,2615.3,4,4,1.0,15,4,9,13346712.0,5103.4
Kukatpally,1462.2,3,3,2.0,3,2,14,7548785.0,5162.8
Gachibowli,2048.7,3,3,0.0,7,2,14,16737729.0,8170.1
Financial District,544.9,1,1,2.0,7,10,20,4831878.0,8867.1
Gachibowli,1492.0,3,3,2.0,10,8,9,11895745.0,7973.0
Nallagandla,1105.5,2,3,2.0,7,17,24,7227263.0,6537.7
Manikonda,2701.8,4,5,2.0,7,9,12,19355419.0,7164.0
Begumpet,1035.6,2,2,1.0,3,19,19,8271056.0,7986.8
LB Nagar,1179.0,2,3,1.0,10,6,24,4797426.0,4068.9
Bowenpally,1443.8,2,2,3.0,10,6,15,7747473.0,5366.0
Miyapur,737.7,1,1,1.0,10,0,3,3576910.0,4848.5
Begumpet,1148.2,2,2,1.0,3,4,6,8850862.0,7708.8
Jubilee Hills,1762.0,3,4,2.0,7,6,6,21997404.0,12484.5
Tellapur,1608.6,3,4,1.0,5,6,15,10367193.0,6444.8
Banjara Hills,1188.4,2,2,2.0,0,13,18,19699456.0,16577.0
Kompally,1803.2,3,4,2.0,5,4,20,9828109.0,5450.3
Hitech City,1317.1,2,2,1.0,7,7,23,12066330.0,9161.4
Kondapur,531.0,1,2,0.0,5,4,5,4034591.0,7598.1
Kompally,1606.5,3,4,0.0,5,18,19,8048430.0,5009.9
Uppal,1870.9,3,4,2.0,5,12,17,8366009.0,4471.5
Hitech City,1028.9,2,2,0.0,10,10,16,9322772.0,9061.0
Nizampet,1141.3,2,2,2.0,25,6,12,5949711.0,5213.3
Nallagandla,3316.7,5,6,1.0,7,12,23,19442445.0,5862.1
Madhapur,1714.0,3,3,1.0,15,3,6,12423947.0,7248.6
Bowenpally,1681.0,3,4,0.0,20,0,4,7588200.0,4514.2
Hitech City,1720.2,3,3,2.0,7,4,5,13896788.0,8078.4
Miyapur,719.1,1,2,1.0,3,5,14,3846207.0,5348.4
Miyapur,1295.3,2,2,1.0,10,6,7,7599524.0,5866.9
Begumpet,669.3,1,1,3.0,0,7,13,5447989.0,8140.2
Kompally,1430.1,3,3,1.0,25,8,13,6259749.0,4377.0
Nallagandla,602.6,1,1,2.0,5,1,25,4325310.0,7177.4
Kukatpally,679.6,1,1,1.0,5,4,22,4525876.0,6659.6
Banjara Hills,1610.2,3,4,1.0,10,7,13,21730594.0,13495.3
Begumpet,1613.8,3,3,2.0,1,4,8,13556963.0,8400.7
LB Nagar,1807.5,3,3,1.0,7,13,21,8161015.0,4515.1
Nallagandla,1722.7,3,3,0.0,3,0,13,12143774.0,7049.2
Manikonda,1709.2,3,4,1.0,10,10,20,9752296.0,5705.9
Miyapur,1832.0,3,3,1.0,10,14,16,9439816.0,5152.7
Ameerpet,1538.4,4,4,1.0,7,2,14,10062859.0,6541.3
Shaikpet,1501.0,2,2,1.0,10,10,17,10140915.0,6756.0
Gachibowli,1504.3,3,4,2.0,5,0,17,12951927.0,8609.9
Nizampet,3641.1,5,5,2.0,3,4,24,21558344.0,5920.8
Financial District,1764.8,3,3,2.0,1,3,10,17520767.0,9928.1
Madhapur,1450.7,3,3,2.0,3,1,22,12947997.0,8925.3
Financial District,1851.8,4,4,0.0,7,3,4,16794647.0,9069.4
Banjara Hills,1372.9,2,3,1.0,3,3,6,18797501.0,13691.6
Kukatpally,2165.0,4,4,0.0,7,0,7,12517821.0,5781.9
LB Nagar,1079.7,2,3,2.0,5,6,7,4889118.0,4528.1
Financial District,1938.7,3,4,1.0,10,14,14,17747751.0,9154.6
Shaikpet,1574.9,3,3,1.0,3,2,4,9907000.0,6290.6
Kompally,1640.2,3,3,3.0,1,13,20,8645839.0,5271.1
Uppal,2532.8,4,5,1.0,5,24,24,12301969.0,4857.1
Uppal,2393.7,4,4,0.0,2,0,2,10120198.0,4227.8
Kompally,1441.4,3,4,0.0,20,1,9,5657275.0,3924.9
Nallagandla,1227.2,2,3,1.0,3,1,12,9285730.0,7566.8
Gachibowli,1141.3,2,3,1.0,0,0,4,8885623.0,7785.7
Banjara Hills,2480.3,4,4,1.0,3,14,16,43016424.0,17343.2
Nallagandla,1101.8,2,3,1.0,10,3,20,6646104.0,6031.8
Kondapur,1250.4,2,3,1.0,2,8,24,8825872.0,7058.6
Jubilee Hills,1275.1,2,2,0.0,7,2,9,17190909.0,13481.5
Manikonda,3115.4,5,5,1.0,2,16,25,17132897.0,5499.3
Nizampet,1709.0,3,3,1.0,3,10,11,9653532.0,5648.7
Nallagandla,1179.4,2,2,1.0,5,6,10,7076778.0,6000.2
Nizampet,1637.3,3,4,1.0,3,11,20,8598435.0,5251.5
Tellapur,2513.1,4,4,2.0,20,0,6,16370222.0,6514.0
Kompally,775.8,1,1,1.0,3,4,19,4135269.0,5330.7
Uppal,1832.1,3,3,1.0,10,2,3,7760102.0,4235.6
Nallagandla,1696.0,3,3,1.0,1,2,8,11809749.0,6963.3
LB Nagar,1691.6,3,4,3.0,15,2,10,7553423.0,4465.4
Kukatpally,1541.4,3,3,1.0,3,23,24,9751308.0,6326.5
Madhapur,2121.6,4,5,1.0,2,1,13,19821634.0,9342.6
Financial District,1946.2,3,3,2.0,0,3,23,19806980.0,10177.2
Jubilee Hills,1399.2,3,4,0.0,10,9,16,19547983.0,13971.3
Shaikpet,1538.7,3,3,1.0,7,1,6,10023767.0,6514.5
Ameerpet,1146.4,2,3,1.0,5,23,25,7646948.0,6670.7
Financial District,3032.4,5,5,1.0,1,5,19,29238187.0,9641.8
Begumpet,1659.1,3,3,1.0,5,3,7,12081766.0,7282.0
Shaikpet,2270.4,4,4,1.0,5,0,6,15743009.0,6934.1
Bowenpally,1547.8,3,4,1.0,15,2,14,6976240.0,4507.2
Bowenpally,1429.3,3,4,1.0,1,2,25,7991295.0,5591.1
Nizampet,1149.0,3,4,2.0,7,25,25,6212274.0,5406.7
Uppal,1085.8,2,2,1.0,2,1,22,4857002.0,4473.3
Kukatpally,1074.7,2,3,1.0,0,19,25,6888264.0,6409.3
Nallagandla,2404.1,4,4,2.0,5,5,5,15419850.0,6414.0
Kukatpally,1067.8,2,2,1.0,5,20,20,7254004.0,6793.4
Kompally,2067.9,3,3,2.0,5,7,10,9387192.0,4539.6
LB Nagar,542.0,1,1,1.0,2,4,6,2484624.0,4584.2
Begumpet,2037.5,3,4,2.0,1,15,22,16137631.0,7920.3
Miyapur,2053.2,4,5,0.0,25,9,9,8687398.0,4231.2
Bowenpally,1316.9,2,2,0.0,20,0,10,5172487.0,3927.8
Hitech City,1605.9,3,4,1.0,7,2,7,13132904.0,8177.7
Financial District,1867.2,3,4,0.0,1,7,7,20111393.0,10771.1
Banjara Hills,763.5,1,2,0.0,0,7,14,11122046.0,14567.3
Begumpet,1111.5,2,2,1.0,2,6,23,9064429.0,8155.3
Kondapur,1160.9,2,3,1.0,7,16,23,8440029.0,7270.3
Manikonda,1521.5,3,4,1.0,7,20,21,9778491.0,6426.8
Begumpet,1421.2,3,4,1.0,5,1,15,10579966.0,7444.5
Shaikpet,2033.9,4,4,1.0,1,5,19,15293562.0,7519.5
Bowenpally,714.4,1,1,1.0,3,8,20,3539481.0,4954.8
Banjara Hills,1186.2,2,2,2.0,3,2,13,17077389.0,14396.3
Gachibowli,1160.8,2,3,2.0,7,10,16,9662617.0,8324.0
Nizampet,1059.2,2,3,3.0,2,18,21,5960885.0,5627.9
Uppal,1622.4,3,4,1.0,3,15,16,7472490.0,4605.9
Shaikpet,1593.3,3,3,1.0,7,8,10,10775181.0,6762.8
Madhapur,1595.9,3,4,1.0,2,7,25,13766058.0,8625.7
Kondapur,1169.1,2,2,1.0,0,2,12,8423790.0,7205.5
Nizampet,653.2,1,1,2.0,0,5,6,3315623.0,5076.0
Banjara Hills,632.2,1,1,1.0,5,19,23,8421233.0,13321.2
Kukatpally,2269.9,4,5,1.0,2,7,18,13578172.0,5981.9
Miyapur,1117.2,2,2,0.0,2,2,2,6127637.0,5484.8
Kondapur,1286.4,2,3,2.0,0,7,12,9029416.0,7018.9
Jubilee Hills,1465.0,3,3,2.0,7,1,3,19691228.0,13441.1
Nizampet,1512.4,3,4,3.0,10,17,21,8137806.0,5380.8
